project_product_id	project_id	product_name	product_type	location	description	is_followup	comment
1	1	Architastic hackathon code repository	repository	https://github.com/phylotastic/architastic		FALSE	 
2	2	DateLife hackathon code repository	repository	https://bitbucket.org/bomeara/datelife		FALSE	 
3	3	Phylostylotastic hackathon code repository	repository	https://github.com/daisieh/nexml.java		FALSE	 
4	4	Phylogeotastic hackathon code repository	repository	https://github.com/phylotastic/PhyloGeoTastic		FALSE	 
5	5	Taxonomic Name Resolution hackathon code repository	repository	ttps://github.com/phylotastic-legacy/TNRastic		FALSE	 
6	6	Tree Annotation hackathon code repository	repository	https://github.com/miapa/miapa		FALSE	 
7	7	Integration of Trees and Traits hackathon code repository	repository	https://github.com/lukejharmon/traitathon		FALSE	 
8	8	Library wrappers for OT APIs hackathon code repository	repository	https://github.com/fmichonneau/rotl		FALSE	 
9	9	Phylogeny viz style-sheets hackathon code repository	repository	https://github.com/OpenTreeOfLife/phylostylotastic		FALSE	 
10	10	Down-sampling taxa hackathon code repository	repository	https://github.com/arlin/sample_taxa		FALSE	 
11	11	Branch lengths hackathon code repository	repository	https://github.com/ladykiyenz/branchlengths		FALSE	 
12	12	Annotation database hackathon code repository	repository	https://github.com/OpenTreeOfLife/muriqui		FALSE	 
13	13	Phylotastic Shiny hackathon code repository	repository	https://github.com/phylotastic/phyloShiny		FALSE	 
14	14	Phylotastic Architecture hackathon code repository	repository	https://github.com/phylotastic-legacy/cgi	Perl CGI scripts providing skeleton implementation of Phylotastic functionality (using mock return data)	FALSE	This group generated several repositories with different kinds of implementations.  
15	15	TNRS hackathon code repository	repository	https://github.com/phylotastic-legacy/TNRastic		FALSE	 
16	16	Branch lengths hackathon code repository	repository	https://bitbucket.org/bomeara/datelife/overview		FALSE	 
17	17	Tree Store hackathon code repository	repository	https://github.com/kcranston/PhylotasticTreeStore	"This is the code for a RESTful adaptor for an RDF-based tree store. It is a web2py application, which provides a RESTful interface by translating queries for trees into SPARQL queries to a triple store and then using DendroPy to translate the resulting RDF to NeXML."	FALSE	This group generated several repositories with pieces.  None of them is the main repository. 
18	18	Integrating Ontologies hackathon code repository	code	https://github.com/nexml/nexml/blob/master/xslt/nexml2cdao.xsl	"An XSLT stylesheet that transforms NeXML to CDAO, updated to handle character state matrices. Produced output validates against W3C RDF validator. This style sheet was in use for the creation of TreeBASE RDF/XML output."	FALSE	This is still used to provide the export capability for TreeBASE
19	18	Integrating Ontologies hackathon code repository	code	https://github.com/nexml/nexml/blob/master/examples/translations/tdwg09.xml	An example NeXML instance document of semantically annotated OTUs. This file is part of a growing collection of canonical NeXML example files.	FALSE	Note that this is formalized data rather than executable code
20	18	Integrating Ontologies hackathon code repository	code	https://github.com/nexml/nexml/blob/master/examples/translations/tdwg09.rdf	A CDAO RDF/XML translation of the NeXML instance document. 	FALSE	Note that this is formalized data rather than executable code
21	18	Integrating Ontologies hackathon code repository	code	http://www.evoio.org/wg/evoio/images/8/87/Tucos.owl	An ontology for occurrence instance data. This file is a one-off example.	FALSE	Note that this is formalized data rather than executable code
22	18	Integrating Ontologies hackathon code repository	code	http://www.cs.nmsu.edu/~bchisham/taxonomy_mapping.owl	An adaptor ontology that aligns CDAO with DarwinCore	FALSE	This resource has gone missing (original owner BC could not find it easily)
24	24	Diversification hackathon code repository	repository			FALSE	"for location, see comment  in event metadata for this hackathon"
25	25	Divergence Time Estimation hackathon code repository	repository			FALSE	"for location, see comment  in event metadata for this hackathon"
26	26	Documentation hackathon code repository	repository			FALSE	"for location, see comment  in event metadata for this hackathon"
27	27	Trait Evolution hackathon code repository	repository			FALSE	"for location, see comment  in event metadata for this hackathon"
28	28	Class Design hackathon code repository	repository			FALSE	"for location, see comment  in event metadata for this hackathon"
29	29	Mesquite-R communication hackathon code repository	repository	http://rmesquite.r-forge.r-project.org/		FALSE	
30	30	Input-Output hackathon code repository	repository			FALSE	"for location, see comment  in event metadata for this hackathon"
37	37	Taxonomic Intelligence Subgroup hackathon code repository	repository	https://github.com/arlin/dbhack1/tree/master/taxonIntel		FALSE	 
