project_id	event_id	full_name	narrative_description
1	7	Architastic	"The Architastic team focused on building the core infrastructure of Phylotastic. The team implemented a Model-View-Controller design, which coordinates communication between clients (such as PhyloGeotastic), the treestore, the taxonomic name resolution service (TNRS), the pruner, and DateLife. The central controller also includes an interface for user interaction that helps disambiguate results from TNRS."
2	7	DateLife	"DateLife is an open-source web service that allows users to obtain divergence dates for a set of taxa. As part of the Phylotastic suite, it can assign branch lengths to the pruned trees obtained by submitting a taxon list to the central controller and pruner. DateLife was initiated at the first hackathon, and its development continued during hackathon 2."
3	7	Phylostylotastic	"Phylostylotastic extends the NexML standard for tree annotation with a new set of metadata that is interpreted as styles, a la CSS and HTML. The TSS (tree style sheets) standard is a specification that incorporates most decorations and markups commonly used in published phylogenies and is available on the Phylostylotastic wiki page."
4	7	Phylogeotastic	"Phylogeotastic is a front-end client that enables easy geospatial queries to Phylotastic. It allows the user to specify a geographic region and retrieve the tree of life for the organisms that inhabit that part of the globe. The client links Phylotastic to several clearinghouses for species occurrence data, including GBIF (through the Lampyr app) and iNaturalist."
5	7	Taxonomic Name Resolution	"Participants at the first hackathon built Taxosaurus, a taxonomic thesaurus service that cleans an input list of species name and attempts to match each input name with a currently valid species. We continued development at the second hackathon, emphasizing name cleaning and spellchecking functions. Name Cleaner (mr-naims) is a tool for generating a report (CSV) on the validity of species names in a document. It is written in python and designed to be agnostic about the types of files on which it can operate. This is aided in large part by the [Global Names Discovery Service] API, which accepts PDFs, Office documents, images, or plain text. DendroPy is used to read trees in Newick and NeXML formats. One participant (Gaurav Vaidya) also created an autocompletion widget for species names, which aid users in selecting the correct spelling for species names on the fly."
6	7	Tree Annotation	"A complete Phylotastic system must manage metadata for phylogenies, including metadata on expert source trees (e.g., citations, methods), and a description of phylotastic manipulations. The Tree Annotation team focused on representing and storing metadata on source phylogenies. They identified a set of 10 source trees and created free-text annotations for citations, sources and methods used to build those trees. Then, they encoded the data and metadata as RDF using CDAO and other ontologies, including a new MIAPA ontology for tree annotation, loaded the encoded information into a triplestore, and demonstrated logical querying based on data and metadata attributes."
7	8	Integration of Trees and Traits	"The goal was to set up workflows in both R and Arbor to analyze trait data on trees from OpenTree. Several test cases were developed: Anolis lizard ecomorphs, Heliconia morphological traits, Pocket Gophers and Their Parasitic Chewing Lice, Stochastic mapping and diversification analyses with Solanaceae, mapping of sexual systems from Tree of Sex database"
8	8	Library wrappers for OT APIs	"Goal was to develop client libraries for the Open Tree of Life RESTful API, in at least the languages R, Python and Ruby. Starting from the RESTful API itself, which was considered Level 0, the goal was to develop client functionality such that language-native primitives can be passed and received (Level 1) before attempting object wrappers (Level 2)."
9	8	Phylogeny viz style-sheets	"Goal of PhyloStyloTastic is to develop simple, portable style for phylogenetic (and other) trees. It uses NexSS (formerly TSS), a stylesheet language which is not (quite) CSS, but uses the same syntax and concepts to style tree figures for printed output or interactive display."
10	8	Down-sampling taxa	"Typically the user who wants a tree of mammals does not want a tree with 4500 species, but rather a tree with a representative set.  For instance, many users requesting a tree of mammals would be satisfied with the 94 species with known genomes, or one species for each of 26 orders, or ~150 families. We originally called this down-sampling but that metaphor is misleading if one takes it too literally.  We can distinguish several different modes of sampling to get a tree."
